Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Alex Johnson,alex.johnson@example.com,Canada,0,68,77260.8,28607.39,809361.99,60261.89
Patricia Garcia,mark.thompson@example.com,Australia,1,40,82761.27,31428.93,263334.35,42226.02
Jessica Taylor,michael.brown@example.com,Canada,0,56,60039.15,34338.97,571956.43,47647.4
Alex Johnson,jane.smith@example.com,Canada,0,30,124652.64,16938.72,494923.27,71555.24
Sarah Wilson,daniel.anderson@example.com,UK,0,55,43526.97,31213.63,968468.29,40744.75
Mark Thompson,jessica.taylor@example.com,Germany,0,49,86160.38,18284.12,469745.23,71404
Lisa White,steven.martinez@example.com,UK,1,60,63039.98,30830.12,1330926.5,9944.19
John Doe,alex.johnson@example.com,USA,0,55,61737.93,11190.6,487553.35,98445.86
Karen Clark,karen.clark@example.com,USA,1,53,89425.48,34300.25,877574.87,32064.43
Steven Martinez,sarah.wilson@example.com,Germany,0,67,62159.87,23435.11,1086371.66,53402.7
Patricia Garcia,sarah.wilson@example.com,Germany,1,24,125618.67,32513.65,1164665.11,6337.59
Steven Martinez,chris.lee@example.com,Canada,0,18,72412.56,19717.7,712994.22,73673.77
Steven Martinez,jessica.taylor@example.com,UK,1,50,70826.26,24905.73,610293.02,79896.17
Alex Johnson,alex.johnson@example.com,Germany,1,61,44800.64,31461.28,686779.56,14866.62
Daniel Anderson,andrew.martin@example.com,Germany,1,32,35026.61,2098.23,1364815.85,77715.05
Mark Thompson,michael.brown@example.com,Canada,1,59,174797.08,21760.6,606101.42,84985.16
Sarah Wilson,lisa.white@example.com,Australia,0,57,136865.1,6699.64,966815.69,46504.01
Steven Martinez,daniel.anderson@example.com,USA,1,40,80317.15,23485.73,278405.5,72984.69
Jane Smith,mark.thompson@example.com,Germany,0,57,146006.79,20232.23,637612.81,31128.24
Alex Johnson,karen.clark@example.com,Germany,0,47,150774.76,18371.74,1054469.69,49623.72
Michael Brown,jessica.taylor@example.com,UK,1,51,139479.31,27925.45,848072.08,23010.39
Andrew Martin,michael.brown@example.com,UK,0,56,142933.75,4343.01,732469.49,5087.41
Mark Thompson,mark.thompson@example.com,UK,1,24,89160.52,12619.74,333113.06,46497.52
Mark Thompson,jessica.taylor@example.com,USA,0,70,125561.96,12917.81,318527.71,50076.31
Sarah Wilson,patricia.garcia@example.com,Australia,0,51,55637.85,3171.32,695613.23,51640.63
Andrew Martin,daniel.anderson@example.com,Germany,0,49,113375.2,2383.16,527843.35,22605.76
Karen Clark,michael.brown@example.com,USA,0,32,67987.29,33444.58,160933.49,54358.23
Patricia Garcia,karen.clark@example.com,USA,0,42,178576.43,26599.09,1639233.66,53458
Patricia Garcia,lisa.white@example.com,Canada,1,40,105898.47,33320.29,1304964.89,8966.86
Karen Clark,emily.davis@example.com,Canada,1,67,148917.93,11060.76,299474.28,36922.43
Jessica Taylor,andrew.martin@example.com,Canada,1,43,103296.41,13173,1024411.27,77119.52
Chris Lee,steven.martinez@example.com,USA,1,51,123870.91,11659.71,313082.33,27302.08
Patricia Garcia,john.doe@example.com,USA,0,31,66803.52,29468.45,1056515.35,62385.59
Mark Thompson,john.doe@example.com,UK,0,47,101972.52,27459.49,513004.32,58664.08
Daniel Anderson,andrew.martin@example.com,UK,1,66,92999.01,16434.01,1710059.36,92663.83
Jane Smith,karen.clark@example.com,Germany,0,41,65040.47,18224.52,697197.67,70668.39
Alex Johnson,daniel.anderson@example.com,Canada,0,27,76880.93,21342.76,427232.48,98652.98
Steven Martinez,patricia.garcia@example.com,Canada,1,21,66566.08,24773.47,1182800.81,9967.33
Andrew Martin,john.doe@example.com,UK,0,65,118251.17,17813.89,714775.88,94827.11
Daniel Anderson,michael.brown@example.com,USA,0,35,114984.99,27224.54,574584.74,82238.09
Karen Clark,karen.clark@example.com,Germany,1,31,63665.86,6366.24,293652.3,75485.38
John Doe,jane.smith@example.com,UK,1,69,75607.96,28943.09,1447110.39,19168.52
Jane Smith,chris.lee@example.com,Germany,0,34,162664.37,27296.26,1286105.79,54835.47
Chris Lee,steven.martinez@example.com,Canada,0,30,48485.55,23398.37,1273803.98,51181.33
Andrew Martin,daniel.anderson@example.com,USA,0,50,64992.12,16117.93,507784.51,24026.44
Daniel Anderson,sarah.wilson@example.com,Germany,1,30,135878.43,3134.16,272888.55,99787.56
Emily Davis,john.doe@example.com,Canada,1,33,65781.92,34432.08,558691.27,99238.94
Alex Johnson,steven.martinez@example.com,Germany,1,61,50988.72,18079.14,183203.68,62782.26
Alex Johnson,alex.johnson@example.com,Canada,1,52,94351.96,31010.81,1933890.39,87056.23
Emily Davis,sarah.wilson@example.com,USA,1,47,59405,16791.59,733108.89,58927.07
Emily Davis,emily.davis@example.com,USA,0,70,101417.22,23486.37,521936.34,80186.61
John Doe,lisa.white@example.com,Canada,0,30,87004.19,33194.64,1024679.83,11587.13
Mark Thompson,andrew.martin@example.com,Germany,0,33,77332.42,13250.82,1230809.84,50758.14
Daniel Anderson,mark.thompson@example.com,Canada,0,46,70101.31,22266.41,645633.26,10973.17
John Doe,chris.lee@example.com,UK,1,20,71667.88,29897.49,391667.2,94699.85
Michael Brown,andrew.martin@example.com,USA,0,36,82748.46,22659.36,338115.63,15763.58
Michael Brown,michael.brown@example.com,Germany,1,41,74209.66,13732.22,1115769.68,20823.07
Steven Martinez,emily.davis@example.com,Canada,0,48,121940.44,14550.72,1458647.92,60322.11
Jane Smith,chris.lee@example.com,Canada,0,49,142908.89,20754.48,301878.69,69390.47
John Doe,steven.martinez@example.com,Germany,0,60,79568.17,30112.25,975159.23,7628.36
Andrew Martin,jessica.taylor@example.com,Canada,1,35,147007.55,7091.91,1619335.27,74092.09
Patricia Garcia,sarah.wilson@example.com,Australia,0,33,65381.88,28476.52,902539.04,39177.26
Patricia Garcia,jane.smith@example.com,USA,1,53,67332.58,29843.42,1050059.73,24285.9
Lisa White,karen.clark@example.com,Australia,1,58,72282.16,34195.66,1830911.38,85174.63
Jane Smith,michael.brown@example.com,Australia,1,57,104303.39,32315.01,351536.37,6080.55
Daniel Anderson,sarah.wilson@example.com,UK,1,63,155734.11,15344.68,1092268.05,86038.87
Sarah Wilson,alex.johnson@example.com,UK,1,67,95322.55,5602.31,727761.97,41736.73
Karen Clark,andrew.martin@example.com,USA,0,25,114519.41,8276.97,630399.86,12320.68
Michael Brown,lisa.white@example.com,Germany,0,44,87799.31,16093.48,462788.87,48743.31
Alex Johnson,jessica.taylor@example.com,UK,0,53,66670.26,34418.44,696553.68,88355.67
Emily Davis,daniel.anderson@example.com,UK,1,64,62798.81,4839.55,537422.64,96526.78
John Doe,karen.clark@example.com,Germany,0,53,119313.42,34628.3,466966.15,82552.41
Sarah Wilson,steven.martinez@example.com,UK,1,54,73404.4,27245.76,1047646.27,61668.6
Steven Martinez,john.doe@example.com,USA,1,21,65368.26,3356.26,879304.12,10723.94
Sarah Wilson,daniel.anderson@example.com,Canada,1,30,94278.65,22980.68,205099.72,55323.47
Emily Davis,lisa.white@example.com,Canada,0,26,75294.24,9360.15,366582.75,18625.12
Michael Brown,steven.martinez@example.com,Australia,1,46,129325.83,24426.28,1280980.73,18728.22
Karen Clark,andrew.martin@example.com,USA,0,43,36766.02,23897.68,537712.07,80002.46
Jessica Taylor,daniel.anderson@example.com,UK,1,30,127708.94,21456.27,658371.9,77448.89
Karen Clark,emily.davis@example.com,Canada,0,50,63382.4,32416.81,1056011.99,41894.49
John Doe,lisa.white@example.com,Germany,1,28,129050.45,18673.19,540861.7,90342.56
Jessica Taylor,steven.martinez@example.com,Canada,1,48,71840.23,23068.83,452286.48,86578.62
Emily Davis,sarah.wilson@example.com,Canada,1,19,58005.71,4267.86,211585.6,51057.12
Mark Thompson,mark.thompson@example.com,Australia,1,46,114652.7,8634.31,341919.79,30559.71
Karen Clark,jessica.taylor@example.com,Germany,1,51,54948.65,34641.09,1435264.95,6766.86
Patricia Garcia,john.doe@example.com,UK,1,64,68130.75,16828.38,168891.18,87289.67
Daniel Anderson,sarah.wilson@example.com,Australia,0,26,71997.82,6360.97,387057.77,5327.3
Mark Thompson,jane.smith@example.com,Germany,0,42,43073.68,32261.89,1024019,41016.44
John Doe,sarah.wilson@example.com,Germany,0,36,179975.22,11541.03,1629089.62,57237.71
John Doe,chris.lee@example.com,Canada,0,33,93079.38,22272.3,502457.34,16151.96
Mark Thompson,daniel.anderson@example.com,Canada,0,51,189402.33,2895.95,1667307.48,7813.3
Emily Davis,patricia.garcia@example.com,UK,0,26,104999.91,27161.21,695647.78,83812.63
Jessica Taylor,alex.johnson@example.com,Canada,1,36,123697.72,26535.57,1137027.27,17077.32
John Doe,steven.martinez@example.com,Canada,0,19,138837.6,12758.63,837802.49,70986.35
Sarah Wilson,daniel.anderson@example.com,Germany,0,70,55049.79,15983.19,1124488.27,6355.64
Mark Thompson,chris.lee@example.com,USA,1,40,167079.34,22215.47,771951.83,46742.88
Sarah Wilson,mark.thompson@example.com,UK,1,40,137054.84,12087.11,260608.57,6893.94
Alex Johnson,andrew.martin@example.com,USA,0,60,123902.52,29004.95,809311.76,30533.67
Daniel Anderson,sarah.wilson@example.com,Canada,0,64,57616.72,5417.63,1223178.56,55285.98
Mark Thompson,sarah.wilson@example.com,Germany,1,49,82518.17,780.6,587300.36,55840.07
Jessica Taylor,chris.lee@example.com,Germany,0,66,121191.62,10919.79,492220.28,6270.02
Chris Lee,emily.davis@example.com,Canada,0,58,51419.77,21647.97,1517297.53,27585.89
Lisa White,sarah.wilson@example.com,Canada,1,61,33631.83,17517.14,698051.15,79381.66
Steven Martinez,mark.thompson@example.com,Germany,1,45,45201.62,20140.98,392495.56,94661.9
John Doe,emily.davis@example.com,Canada,0,24,82658.72,16023.37,1261264.73,58760.42
Emily Davis,emily.davis@example.com,Canada,0,34,114787.74,32542.71,683549.67,7937.83
Emily Davis,steven.martinez@example.com,Germany,1,55,131204.97,11080.17,935800.6,73908.04
Jane Smith,jessica.taylor@example.com,Australia,1,48,105980.88,21908.15,519964.46,30656.36
Andrew Martin,michael.brown@example.com,Germany,0,26,107011.45,4625.58,1372532.86,12098.42
Karen Clark,john.doe@example.com,USA,1,19,44641.11,21213.26,690529.13,26417.21
Patricia Garcia,chris.lee@example.com,Australia,1,30,116871.52,25795.5,717117.95,79280.48
Chris Lee,lisa.white@example.com,USA,1,22,90617.78,12140.77,1121737.28,21758.11
Alex Johnson,steven.martinez@example.com,Germany,1,42,129603.66,11904.54,148436.11,75456.24
Steven Martinez,jane.smith@example.com,Canada,0,66,62323.07,23569.2,1419347.9,18416.45
Jane Smith,sarah.wilson@example.com,Germany,0,45,111676.55,3243.35,159966.56,61028.27
Patricia Garcia,jane.smith@example.com,USA,1,53,110036.74,12882.32,785971.83,27918.04
Steven Martinez,jessica.taylor@example.com,UK,0,27,64572.56,34053.73,176657.02,50749.44
Steven Martinez,sarah.wilson@example.com,Canada,0,33,136590.73,34755.47,670134.54,34350.19
Emily Davis,john.doe@example.com,USA,0,61,163187.76,20231.4,1564065.92,89031.04
Michael Brown,chris.lee@example.com,Canada,1,18,108592.68,9314.64,1520920.31,25033.5
Sarah Wilson,andrew.martin@example.com,USA,1,34,33644.46,28431.73,555896.17,43459.16
Alex Johnson,patricia.garcia@example.com,Germany,1,36,72410.44,11321.78,1139527.1,92212.91
Jessica Taylor,steven.martinez@example.com,Canada,1,21,39079.65,8540.83,270794.78,61095.26
Jane Smith,emily.davis@example.com,UK,0,55,67753.77,6502.01,801070.54,84408.03
Andrew Martin,chris.lee@example.com,Germany,0,20,56199.13,9742.83,864055.62,7158.48
Patricia Garcia,lisa.white@example.com,USA,1,47,102562.54,10785.27,308450.68,93439.03
Patricia Garcia,mark.thompson@example.com,Canada,0,47,65935.28,14532.16,922627.11,25045.72
Mark Thompson,jane.smith@example.com,Canada,0,65,116270.67,13357.57,1969954.23,99219.88
Patricia Garcia,sarah.wilson@example.com,Germany,1,26,62102.65,9864.01,1106309.02,74235.99
Mark Thompson,jane.smith@example.com,Germany,0,59,83059.28,13815.75,800932.21,31611.04
Sarah Wilson,karen.clark@example.com,Canada,1,63,71722.46,799.41,746955.07,65587.06
Karen Clark,karen.clark@example.com,Canada,1,40,131655.68,17548.55,644297.71,29952.48
Alex Johnson,michael.brown@example.com,Canada,1,70,146838.23,31761.75,845522.92,45503.51
Karen Clark,jessica.taylor@example.com,UK,0,64,60219.02,24828.46,1272446.57,10718.87
Emily Davis,patricia.garcia@example.com,UK,1,44,85472.35,34603.64,732256.25,8805.21
Daniel Anderson,steven.martinez@example.com,Canada,1,32,52460.34,7010.47,576394.24,43826.59
Mark Thompson,steven.martinez@example.com,Canada,0,22,101978.85,25923.09,747695.26,65053.05
Emily Davis,andrew.martin@example.com,Australia,0,28,58402.55,22156.66,813119.2,19470.75
Alex Johnson,john.doe@example.com,USA,0,43,82850.29,21272.83,240775.98,68906.78
Patricia Garcia,michael.brown@example.com,USA,0,55,52197.5,5174.26,419551.29,64681.49
Daniel Anderson,michael.brown@example.com,Australia,0,57,141164.72,15632.88,689101.13,59769.43
Patricia Garcia,mark.thompson@example.com,Canada,1,70,63027.98,34074.1,671767.9,33574.59
Daniel Anderson,andrew.martin@example.com,USA,0,22,93768.08,26554.43,809567.57,7315.02
Andrew Martin,emily.davis@example.com,Canada,1,68,50642.57,17137.89,786623.21,66954.97
Karen Clark,alex.johnson@example.com,Germany,1,59,62753.1,26720.62,1207327.75,31983.33
Michael Brown,alex.johnson@example.com,Canada,0,70,99477.57,21990.56,309155.79,72653.91
Emily Davis,andrew.martin@example.com,UK,0,29,117162.13,7499.68,245243.32,81152.37
John Doe,patricia.garcia@example.com,USA,1,61,69475.16,27521.8,1666819.64,63231.98
Karen Clark,alex.johnson@example.com,UK,0,23,149614.03,30313.65,184751.97,55526.25
Patricia Garcia,michael.brown@example.com,Canada,1,41,61454.55,18471.46,792947.84,99509.17
Chris Lee,steven.martinez@example.com,Canada,1,50,118692.87,12477.17,556204.77,15005.65
Emily Davis,alex.johnson@example.com,Germany,0,50,129843.44,18896.83,328437.96,74703.88
Emily Davis,john.doe@example.com,UK,1,69,86694.37,1014.17,795830.94,18846.38
Chris Lee,sarah.wilson@example.com,Canada,0,62,90178.48,25277.21,1728121.99,52399.82
John Doe,mark.thompson@example.com,USA,1,22,109796.74,4321.63,617145.89,8731.14
Steven Martinez,mark.thompson@example.com,Germany,0,49,67057.04,32966.33,73278.03,76264.51
Sarah Wilson,patricia.garcia@example.com,UK,0,50,61085.51,3053.67,1058976.56,66079.87
Karen Clark,daniel.anderson@example.com,UK,0,65,174475.16,26119.56,612914.82,69455.12
Lisa White,jessica.taylor@example.com,USA,1,56,44768.27,2544.57,1080361.87,68359.99
Jane Smith,karen.clark@example.com,Germany,1,26,122308.15,20280.29,843123.87,30676.99
Daniel Anderson,jane.smith@example.com,Germany,1,46,166675.26,10114.05,899101.61,80873.83
Jessica Taylor,daniel.anderson@example.com,USA,1,27,57806.33,16681.68,1045058.14,5290.68
Lisa White,karen.clark@example.com,Canada,0,46,134921.76,34132.72,619998.08,86206.6
Andrew Martin,emily.davis@example.com,Germany,0,67,74315.46,23718.07,893655.54,40716.82
Andrew Martin,chris.lee@example.com,Germany,0,67,103768.78,27249.09,1284450.53,60619.57
Emily Davis,jessica.taylor@example.com,Germany,0,40,63201.31,19266.23,827902.66,22093.48
Patricia Garcia,jane.smith@example.com,Germany,0,51,134546.44,18017.13,858438.19,8002.7
Andrew Martin,andrew.martin@example.com,USA,0,36,54617.71,30345.1,454682.32,62143.75
John Doe,jane.smith@example.com,Canada,0,23,79520.28,6148.53,978990.31,33286.55
Lisa White,jessica.taylor@example.com,Germany,1,33,122278.73,9279.82,362930.56,16309.77
Sarah Wilson,jessica.taylor@example.com,Germany,1,29,118832.72,23652.3,740664.83,24272.07
Emily Davis,sarah.wilson@example.com,USA,1,23,61562.82,7743.2,1158201.9,18958.74
Chris Lee,karen.clark@example.com,Canada,1,22,50549.29,21960.26,1719292.69,27723.91
Chris Lee,andrew.martin@example.com,UK,1,65,131280.13,4749.31,179439.44,52596.19
Daniel Anderson,mark.thompson@example.com,Canada,1,62,80139.2,22936.75,1280869.53,32787.84
Daniel Anderson,emily.davis@example.com,Canada,1,57,175454.72,4801.22,503068.87,51106.05
Steven Martinez,jessica.taylor@example.com,Germany,1,44,142503.7,24160.87,322618.88,25637.22
Mark Thompson,michael.brown@example.com,USA,1,50,142271.75,25125.62,498072.48,69054.73
Karen Clark,lisa.white@example.com,Australia,1,44,87329.53,25203.16,851620.18,57450.02
Andrew Martin,john.doe@example.com,UK,1,49,82635.25,4186.5,927112.03,82694.98
Chris Lee,mark.thompson@example.com,Australia,1,49,85693.16,12507.03,1498918.55,78439.01
John Doe,karen.clark@example.com,UK,1,18,74635.49,23469.04,174152.39,12543.15
Jessica Taylor,sarah.wilson@example.com,USA,1,25,85309.84,19412.12,595306.72,46863.53
Patricia Garcia,jessica.taylor@example.com,USA,1,37,60990.37,4739.21,1110469.83,67500.53
Mark Thompson,andrew.martin@example.com,Australia,0,18,149745.39,24221.42,375204.21,90491.08
Sarah Wilson,michael.brown@example.com,Canada,0,47,70422.32,22209.06,1289612.93,88851.75
Emily Davis,mark.thompson@example.com,UK,0,69,96321.5,30679.39,742653.94,11856.58
John Doe,steven.martinez@example.com,USA,0,32,106599.81,27277.36,785313.22,92437.24
Andrew Martin,michael.brown@example.com,USA,1,62,70412.02,24674.17,716257.27,88910.66
Daniel Anderson,karen.clark@example.com,Canada,1,67,44885.95,3570.16,1132907.33,72885.72
Patricia Garcia,chris.lee@example.com,Canada,0,47,166338.25,759.59,270585.3,72430.68
